class_or_average,precision,recall,f1-score,support,model,seed
B,0.6875,0.9166666666666666,0.7857142857142857,12.0,rbf_svm,2028
IR,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,rbf_svm,2028
OR,0.96,0.8571428571428571,0.9056603773584906,28.0,rbf_svm,2028
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,rbf_svm,2028
macro avg,0.8702083333333334,0.8392857142857143,0.8454627133872417,56.0,rbf_svm,2028
weighted avg,0.8773214285714285,0.8571428571428571,0.8609934539853678,56.0,rbf_svm,2028
N,1.0,0.75,0.8571428571428571,4.0,rbf_svm,2029
B,0.6875,0.9166666666666666,0.7857142857142857,12.0,rbf_svm,2029
IR,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,rbf_svm,2029
OR,0.96,0.8571428571428571,0.9056603773584906,28.0,rbf_svm,2029
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,rbf_svm,2029
macro avg,0.8702083333333334,0.8392857142857143,0.8454627133872417,56.0,rbf_svm,2029
weighted avg,0.8773214285714285,0.8571428571428571,0.8609934539853678,56.0,rbf_svm,2029
