model,seed,metric,estimate,ci_low,ci_high,n_files
rbf_svm,2028,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
rbf_svm,2029,macro_f1,0.8454627133872417,0.7079100529100529,0.9428341384863125,56
rbf_svm,2029,balanced_accuracy,0.8392857142857143,0.705282738095238,0.9523809523809523,56
rbf_svm,2029,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
rbf_svm,2029,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
rbf_svm,2029,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
rbf_svm,mean_of_seeds,macro_f1,0.8357167814714984,0.7009456774162656,0.9348495305017044,56
rbf_svm,mean_of_seeds,balanced_accuracy,0.8267857142857142,0.6958333333333334,0.9398809523809524,56
rbf_svm,mean_of_seeds,accuracy,0.8535714285714284,0.75,0.9428571428571427,56
rbf_svm,mean_of_seeds,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
rbf_svm,mean_of_seeds,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857142,56
