epoch,train_loss,val_macro_f1,candidate,inner_fold,dropout,weight_decay,validation_scheme,outer_fold,stage
13,0.03493463487497398,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
14,0.023309474411819662,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
15,0.0224305766501597,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
16,0.021613876202276776,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
17,0.018714944033750465,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
1,1.052542519569397,,,,0.1,0.0001,lolo,1,outer_fit
2,0.6644710183143616,,,,0.1,0.0001,lolo,1,outer_fit
3,0.4424912542104721,,,,0.1,0.0001,lolo,1,outer_fit
4,0.23821599781513214,,,,0.1,0.0001,lolo,1,outer_fit
5,0.15393189787864686,,,,0.1,0.0001,lolo,1,outer_fit
6,0.09283373355865479,,,,0.1,0.0001,lolo,1,outer_fit
7,0.0711215816438198,,,,0.1,0.0001,lolo,1,outer_fit
8,0.05199311282485723,,,,0.1,0.0001,lolo,1,outer_fit
9,0.035489253047853705,,,,0.1,0.0001,lolo,1,outer_fit
10,0.03361266888678074,,,,0.1,0.0001,lolo,1,outer_fit
11,0.02227583136409521,,,,0.1,0.0001,lolo,1,outer_fit
12,0.014750698860734702,,,,0.1,0.0001,lolo,1,outer_fit
13,0.014741101022809743,,,,0.1,0.0001,lolo,1,outer_fit
14,0.012897939374670386,,,,0.1,0.0001,lolo,1,outer_fit
15,0.010440120124258101,,,,0.1,0.0001,lolo,1,outer_fit
16,0.009487169608473778,,,,0.1,0.0001,lolo,1,outer_fit
17,0.006118000252172351,,,,0.1,0.0001,lolo,1,outer_fit
18,0.007193371141329408,,,,0.1,0.0001,lolo,1,outer_fit
19,0.004875758034177125,,,,0.1,0.0001,lolo,1,outer_fit
20,0.005252122133970261,,,,0.1,0.0001,lolo,1,outer_fit
21,0.0051499465480446815,,,,0.1,0.0001,lolo,1,outer_fit
22,0.0069213455659337345,,,,0.1,0.0001,lolo,1,outer_fit
