validation_scheme,outer_fold,model,feature,importance
group_cv,1,random_forest,amp_rms_std,0.011923570302756457
group_cv,1,random_forest,amp_peak_mean,0.03747873158473779
group_cv,1,random_forest,amp_peak_std,0.010219646086868574
group_cv,1,random_forest,shape_skew_mean,0.008175198617617865
group_cv,1,random_forest,shape_skew_std,0.013158957961811315
group_cv,1,random_forest,shape_kurtosis_mean,0.013720869490084768
group_cv,1,random_forest,shape_kurtosis_std,0.004059913115367743
group_cv,1,random_forest,shape_crest_mean,0.006332353760309523
group_cv,1,random_forest,shape_crest_std,0.003567653040141249
group_cv,1,random_forest,zcr_mean,0.030852551566888382
group_cv,1,random_forest,zcr_std,0.002070128401554968
group_cv,1,random_forest,psd_centroid_mean,0.01335068781426789
group_cv,1,random_forest,psd_centroid_std,0.0031181476181997027
group_cv,1,random_forest,psd_bandwidth_mean,0.029401080518063002
group_cv,1,random_forest,psd_bandwidth_std,0.002524874653756367
group_cv,1,random_forest,psd_entropy_mean,0.0039017907482331586
group_cv,1,random_forest,psd_entropy_std,0.0032290553884175635
group_cv,1,random_forest,psd_peak_ratio_mean,0.015851836259034125
group_cv,1,random_forest,psd_peak_ratio_std,0.017900300591723088
group_cv,1,random_forest,env_rms_mean,0.01510868015012157
group_cv,1,random_forest,env_rms_std,0.004701683639637252
group_cv,1,random_forest,env_kurtosis_mean,0.012709279370367919
group_cv,1,random_forest,env_kurtosis_std,0.0008378963168349172
group_cv,1,random_forest,env_entropy_mean,0.032364326370474136
group_cv,1,random_forest,env_entropy_std,0.004482735402346435
group_cv,1,random_forest,env_peak_ratio_mean,0.09000904516008226
group_cv,1,random_forest,env_peak_ratio_std,0.008209545238833655
group_cv,1,random_forest,psd_0_500_mean,0.02618583545208444
group_cv,1,random_forest,psd_0_500_std,0.02270204182095673
group_cv,1,random_forest,env_0_500_mean,0.01676266262898231
group_cv,1,random_forest,env_0_500_std,0.016494609694106727
group_cv,1,random_forest,psd_500_1000_mean,0.02892350992514197
group_cv,1,random_forest,psd_500_1000_std,0.004874310275372307
group_cv,1,random_forest,env_500_1000_mean,0.03218270392557532
group_cv,1,random_forest,env_500_1000_std,0.028792928615615235
group_cv,1,random_forest,psd_1000_2000_mean,0.006613144699911289
group_cv,1,random_forest,psd_1000_2000_std,0.006075800795570417
group_cv,1,random_forest,env_1000_2000_mean,0.005129538502260957
group_cv,1,random_forest,env_1000_2000_std,0.008697237700825122
group_cv,1,random_forest,env_2000_4000_mean,0.02752178707659598
group_cv,1,random_forest,env_2000_4000_std,0.036298888118627554
group_cv,1,random_forest,psd_4000_8000_mean,0.02712373333988809
group_cv,1,random_forest,psd_4000_8000_std,0.020840535292935745
group_cv,1,random_forest,order_0.5_2_mean,0.003049655431645338
group_cv,1,random_forest,order_0.5_2_std,0.006764534628292547
group_cv,1,random_forest,order_2_4_mean,0.017957678535683114
group_cv,1,random_forest,order_2_4_std,0.04618413283088793
group_cv,1,random_forest,order_4_8_mean,0.05255480374212247
group_cv,1,random_forest,order_4_8_std,0.02408168118385943
group_cv,1,random_forest,order_8_16_mean,0.030737667428356586
group_cv,1,random_forest,order_8_16_std,0.07852603958011406
group_cv,2,random_forest,amp_rms_mean,0.01671204271224628
group_cv,2,random_forest,amp_rms_std,0.005643464656534356
group_cv,2,random_forest,amp_peak_mean,0.02412704968911005
group_cv,2,random_forest,amp_peak_std,0.010221962220160084
group_cv,2,random_forest,shape_skew_mean,0.005558733777010938
group_cv,2,random_forest,shape_skew_std,0.0025362788154427354
group_cv,2,random_forest,shape_kurtosis_mean,0.015859150169127808
group_cv,2,random_forest,shape_kurtosis_std,0.005469051888473477
group_cv,2,random_forest,shape_crest_mean,0.009784198816519572
group_cv,2,random_forest,shape_crest_std,0.0021010521467205237
group_cv,2,random_forest,zcr_mean,0.02335204519161021
group_cv,2,random_forest,zcr_std,0.0033410590831308954
group_cv,2,random_forest,psd_centroid_mean,0.029173501284719513
group_cv,2,random_forest,psd_centroid_std,0.0019818651713031897
group_cv,2,random_forest,psd_bandwidth_mean,0.02344769224092472
group_cv,2,random_forest,psd_bandwidth_std,0.002966504510977599
group_cv,2,random_forest,psd_entropy_mean,0.0011487415266647379
group_cv,2,random_forest,psd_entropy_std,0.007116898124166906
group_cv,2,random_forest,psd_peak_ratio_mean,0.011796832873258096
group_cv,2,random_forest,psd_peak_ratio_std,0.011936727338554345
group_cv,2,random_forest,env_rms_mean,0.014356758450553111
group_cv,2,random_forest,env_rms_std,0.0049486381622236165
group_cv,2,random_forest,env_kurtosis_mean,0.016330276646863904
group_cv,2,random_forest,env_kurtosis_std,0.0015556519481795094
group_cv,2,random_forest,env_entropy_mean,0.03507644994551771
group_cv,2,random_forest,env_entropy_std,0.004842469736432776
group_cv,2,random_forest,env_peak_ratio_mean,0.0518801492457984
group_cv,2,random_forest,env_peak_ratio_std,0.005684516371581192
group_cv,2,random_forest,psd_0_500_mean,0.010319862488530295
group_cv,2,random_forest,psd_0_500_std,0.014866266402692556
group_cv,2,random_forest,env_0_500_mean,0.018962792243552382
group_cv,2,random_forest,env_0_500_std,0.02475404778171028
group_cv,2,random_forest,psd_500_1000_mean,0.03884747655978643
group_cv,2,random_forest,psd_500_1000_std,0.00926905145041887
group_cv,2,random_forest,env_500_1000_mean,0.03718177543773742
group_cv,2,random_forest,env_500_1000_std,0.07869313092754383
group_cv,2,random_forest,psd_1000_2000_mean,0.01045947194076653
group_cv,2,random_forest,psd_1000_2000_std,0.006214872100980666
group_cv,2,random_forest,env_1000_2000_mean,0.0033079651193055762
group_cv,2,random_forest,env_1000_2000_std,0.017374143141984547
group_cv,2,random_forest,env_2000_4000_mean,0.03483203381274176
group_cv,2,random_forest,env_2000_4000_std,0.022340697962837167
group_cv,2,random_forest,psd_4000_8000_mean,0.027497027035152687
group_cv,2,random_forest,psd_4000_8000_std,0.024357292275904784
group_cv,2,random_forest,order_0.5_2_mean,0.00489282333481103
group_cv,2,random_forest,order_0.5_2_std,0.007973669694191604
group_cv,2,random_forest,order_2_4_mean,0.007858296041748949
group_cv,2,random_forest,order_2_4_std,0.04906394112297189
group_cv,2,random_forest,order_4_8_mean,0.04184544568317287
group_cv,2,random_forest,order_4_8_std,0.014630356388956283
